year,glflux_native_mesh_Gt_per_yr,GroundinglineMassFlux_Gt_per_yr
1995.08333333333,2068.46082614326,1951.70104799673
1996,2028.87091226807,1925.7783439994
1997,1990.62365806828,1893.52433734179
1998,1957.89742383007,1867.12355137106
1999,1944.31994514746,1847.20525203171
2000,1931.19055354716,1831.45626001911
2001,1922.2355592285,1817.71213482465
2002,1897.41913642286,1805.48697196174
2003,1888.41497545481,1795.31276167664
2004,1885.52381059957,1783.0274715212
2005,1868.38446440685,1773.16429451498
2006,1871.01333140098,1764.55752314849
2007,1862.3746704305,1757.32143006516
2008,1853.37727744118,1750.64783336889
2009,1845.84154383215,1744.71155060495
2010,1823.16475699419,1738.84956122588
2011,1830.82010495016,1735.66553614385
2012,1826.81387794792,1727.6897172798
2013,1821.8822874865,1725.14106274074
2014,1822.83761713667,1721.05814117345
2015,1818.33748497495,1717.47460580303
